FNV1A	ADL32	DJB	JENKIN	MINE
989	 1011	 1002	 939	 974	
973	 995	 1024	 996	 1028	
958	 973	 969	 991	 964	
1077	 960	 1010	 996	 1005	
1019	 1030	 992	 962	 1062	
1039	 982	 1028	 1039	 990	
993	 1070	 951	 976	 954	
1016	 971	 1015	 1038	 1034	
1002	 987	 989	 991	 1046	
977	 984	 1009	 970	 1025	
969	 1003	 1005	 1027	 1060	
1010	 1005	 970	 1017	 997	
1003	 950	 957	 990	 975	
1006	 1012	 992	 1032	 1064	
984	 955	 975	 942	 977	
981	 980	 1012	 986	 1036	
947	 1013	 978	 972	 983	
995	 1053	 1009	 991	 1010	
960	 993	 1004	 1049	 958	
1017	 1012	 1024	 1028	 1031	
998	 1027	 976	 986	 973	
982	 1074	 987	 974	 993	
1019	 1023	 1052	 1002	 1012	
1022	 1090	 996	 986	 987	
981	 1005	 1001	 988	 1021	
998	 989	 933	 1056	 980	
1024	 958	 1024	 1007	 981	
975	 968	 972	 1040	 982	
983	 1022	 948	 967	 993	
984	 998	 997	 1005	 937	
997	 947	 1008	 999	 1004	
960	 998	 1014	 1031	 1018	
990	 1055	 987	 1000	 1080	
1024	 1022	 997	 1023	 942	
962	 1074	 1009	 993	 977	
1067	 997	 958	 974	 954	
998	 955	 1001	 1012	 1003	
1009	 1035	 1033	 990	 968	
1030	 945	 982	 1035	 999	
1014	 1054	 1016	 955	 1015	
1021	 1005	 1012	 1022	 974	
1032	 1013	 1032	 980	 1004	
966	 1035	 1044	 1010	 1013	
1046	 976	 1066	 974	 982	
988	 1026	 1036	 987	 993	
1010	 971	 968	 989	 999	
1035	 1033	 969	 964	 989	
1029	 1005	 991	 979	 986	
966	 1007	 1032	 1036	 1069	
1029	 961	 1048	 930	 991	
1011	 954	 914	 992	 969	
979	 1016	 1010	 1007	 942	
1001	 990	 967	 980	 969	
999	 1000	 1000	 961	 998	
989	 956	 1022	 1019	 1032	
1015	 1008	 969	 1004	 1014	
939	 964	 944	 1004	 978	
1021	 987	 1024	 1012	 1012	
968	 990	 1006	 958	 1024	
1035	 998	 987	 1041	 1082	
1043	 994	 1012	 948	 993	
926	 1037	 1020	 1073	 1026	
970	 955	 976	 1044	 947	
1041	 998	 1011	 1022	 931	
1007	 1007	 1000	 960	 994	
1000	 1012	 1062	 991	 1010	
985	 1012	 1004	 1007	 1041	
1061	 1000	 979	 995	 974	
1028	 962	 991	 992	 981	
1008	 1051	 1022	 966	 943	
1002	 980	 975	 983	 1015	
1011	 1004	 1079	 1013	 1040	
976	 981	 1002	 1024	 1049	
1009	 1003	 980	 1031	 1015	
995	 994	 942	 1051	 983	
912	 1002	 965	 983	 999	
1008	 961	 1066	 964	 1001	
987	 939	 982	 993	 987	
1026	 1043	 988	 1026	 996	
1036	 1005	 1024	 1025	 1054	
994	 998	 1056	 1032	 1009	
973	 1006	 1027	 1053	 1022	
988	 946	 991	 1004	 970	
1017	 1048	 1011	 1000	 1025	
989	 981	 999	 1024	 983	
1000	 1026	 984	 1018	 979	
974	 946	 966	 974	 1016	
1031	 991	 1036	 989	 949	
1027	 1027	 942	 989	 1044	
1024	 980	 1037	 988	 985	
1000	 989	 990	 1036	 968	
1028	 1071	 1069	 988	 999	
961	 949	 1019	 974	 1038	
1028	 987	 987	 1039	 1005	
1007	 1002	 962	 990	 975	
993	 1020	 1001	 973	 1014	
965	 988	 986	 1025	 985	
970	 1049	 984	 994	 1048	
1035	 999	 1047	 994	 991	
954	 987	 979	 1021	 1004	
