FNV1A   ADL32   DJB
109      85      92
104      106     110
96       115     104
112      110     95
88       93      83
100      120     93
92       93      102
109      98      111
93       110     102
109      96      100
90       110     99
86       93      101
95       97      113
105      123     100
105      83      86
99       99      85
114      106     85
90       105     97
112      91      98
103      95      111
115      107     102
113      105     89
83       94      98
83       113     105
115      90      111
97       113     92
88       95      88
107      122     99
84       105     96
108      99      108
101      79      98
106      107     118
85       103     92
105      101     100
91       92      91
100      106     81
101      103     109
102      90      87
101      108     95
106      89      92
93       90      99
122      92      99
98       111     103
98       94      102
102      96      100
89       103     93
104      103     98
99       93      96
104      99      96
99       100     90
104      99      92
104      117     106
95       105     95
103      98      111
104      98      103
121      102     107
118      104     94
88       104     93
110      102     98
99       99      110
110      101     103
85       100     120
92       104     100
96       87      119
83       113     94
102      93      97
109      96      101
99       90      105
104      96      114
121      102     121
98       93      78
82       95      92
95       106     114
98       101     111
81       95      105
85       88      90
101      92      108
111      93      111
106      93      99
87       107     85
98       117     89
104      105     112
86       93      117
96       91      93
95       98      101
108      92      100
97       97      88
109      105     106
109      111     110
82       97      94
105      117     94
87       108     91
121      92      110
110      86      100
101      92      115
104      105     105
90       87      94
100      114     110
84       96      99
113      94      102
